Fin_year,Time_Category,Passenger_Count
FY18-19,Morning Peak,233200
FY18-19,Late Evening,71250
FY18-19,Evening Peak,300800
FY18-19,Sunday,280750
FY18-19,Weekday,807300
FY18-19,School Holidays,673900
FY19-20,Morning Peak,180600
FY19-20,Late Evening,52700
FY19-20,Evening Peak,231800
FY19-20,Sunday,213050
FY19-20,Weekday,626350
FY19-20,School Holidays,502100
FY20-21,Morning Peak,62450
FY20-21,Late Evening,24850
FY20-21,Evening Peak,91400
FY20-21,Sunday,115450
FY20-21,Weekday,250550
FY20-21,School Holidays,233050
FY21-22,Morning Peak,79050
FY21-22,Late Evening,30550
FY21-22,Evening Peak,114100
FY21-22,Sunday,150350
FY21-22,Weekday,307300
FY21-22,School Holidays,258200
FY22-23,Morning Peak,134550
FY22-23,Late Evening,47000
FY22-23,Evening Peak,183850
FY22-23,Sunday,233350
FY22-23,Weekday,495450
FY22-23,School Holidays,408100
FY23-24,Morning Peak,157250
FY23-24,Late Evening,54200
FY23-24,Evening Peak,212050
FY23-24,Sunday,245300
FY23-24,Weekday,576900
FY23-24,School Holidays,491700
FY24-25,Morning Peak,164000
FY24-25,Late Evening,53000
FY24-25,Evening Peak,218150
FY24-25,Sunday,249400
FY24-25,Weekday,591900
FY24-25,School Holidays,492200
